id	sentence	raw	ipa	gloss_en	features	notes
ar-BH-001	شْلَونَك الْيَوم؟ اِنْتَ زَين وَالْأَهَل زَينِين؟	شلونك اليوم؟ انت زين والأهل زينين؟	ˈʃloːnak alˈjoːm ˈʔinta ˈzeːn ˈwalʔahal zeːˈniːn	How are you today? Are you well and the family well?	kaf;hamza;long_vowel;diphthong;question	šlōnak Gulf greeting; zēn 'good' (Gulf koine, albalushi2016); monophthong ō/ē
ar-BH-002	اَلْبَحَر هَادِي الْيَوم وَالْهَوَا رُطُب فِي الْمَنَامَة.	البحر هادي اليوم والهوا رطب في المنامة.	ˈalbaħar ˈhaːdiː lˈjoːm ˈwalhawaː ˈrutˤub ˈfiː lmaˈnaːma	The sea is calm today and the air is humid in Manama.	ta_marbuta;emphatic;pharyngeal;long_vowel;diphthong;statement	Gulf maritime frame; long vowels aː/uː; ta marbuta pausal -a
ar-BH-003	مَا أَبْغَى قَهْوَة، عَطْنِي چَاي حَارّ.	ما أبغى قهوة، عطني چاي حار.	ˈmaː ˈʔabɣaː ˈɡahwa ˈʕɑtˤniː ˈtʃaːj ˈħaːrr	I don't want coffee, give me hot tea.	qaf;hamza;ta_marbuta;emphatic;pharyngeal;geminate;long_vowel;negation;imperative	abɣā 'I want' (Gulf); imperative ʕaṭni; چ=/tʃ/ affricated kaf (alshammari2026); ق=/ɡ/ gahwa
ar-BH-004	اِشْتَرَيت ثَلَاث كَيلُوَات سِمَچ مِن السُّوق بِدِينَارَين.	اشتريت ثلاث كيلوات سمچ من السوق بدينارين.	ʔiʃtaˈreːt θaˈlaːθ keːluˈwaːt ˈsimatʃ ˈmin asˈsuːɡ bidiːnaːˈreːn	I bought three kilos of fish from the market for two dinars.	qaf;interdental;kaf;sun_assim;geminate;long_vowel;diphthong;statement;number	simač affricated k (alshammari2026); interdental ث retained; ق=/ɡ/ sūg (Gulf g-qaf); monophthong ē in دينارين
ar-BH-005	هَاذِي السَّيَّارَة الْجِدِيدَة مَال جَارْنَا الظَّابِط.	هاذي السيارة الجديدة مال جارنا الظابط.	ˈhaːðiː ssajˈjaːra ldʒiˈdiːda ˈmaːl ˈdʒaːrnaː ðˤˈðˤɑːbitˤ	This new car belongs to our neighbour the officer.	jim;interdental;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;statement	māl genitive exponent (Gulf, albalushi2016); ذ retained in hāði; ظ=/ðˤ/; geminate يّ
ar-BH-006	هَذَا مُو صَحِيح، أَنَا مَا قُلْت چِذِي.	هذا مو صحيح، أنا ما قلت چذي.	ˈhaðaː ˈmuː sˤɑˈħiːħ ˈʔanaː ˈmaː ˈɡult ˈtʃiðiː	That's not right, I didn't say so.	qaf;interdental;hamza;emphatic;pharyngeal;long_vowel;statement;negation	muː nominal negator + čiði 'like this' (Gulf koine, albalushi2016); q=/g/ gult; ch=/tS/ affricated kaf (alshammari2026)
ar-BH-007	الْيَوم الْجَو حَار وَاجِد وَمَا فِي هَوَا.	اليوم الجو حار واجد وما في هوا.	alˈjoːm ˈaldʒoː ˈħaːr ˈwaːdʒid ˈwamaː ˈfiː ˈhawaː	Today the weather is very hot and there is no wind.	jim;pharyngeal;long_vowel;diphthong;statement;negation	wajid 'very' + ma fi 'there is no' (Gulf koine, albalushi2016); aw->oo monophthong; jim=/dZ/
ar-BH-008	بِكَم الْكَيلُو مَال الرُّبْيَان الْيَوم؟	بكم الكيلو مال الربيان اليوم؟	ˈbikam alˈkeːluː ˈmaːl arrubˈjaːn alˈjoːm	How much is the kilo of shrimp today?	kaf;sun_assim;geminate;long_vowel;diphthong;question;number	bikam price question + mal genitive exponent + rubyan 'shrimp' (Gulf koine, albalushi2016); keelo spelt with ay->ee to avoid loanword k-affrication
ar-BH-009	الْمَوعِد بَاچِر السَّاعَة عَشَرَة الصُّبُح.	الموعد باچر الساعة عشرة الصبح.	alˈmoːʕid ˈbaːtʃir asˈsaːʕa ˈʕaʃara ˈɑsˤsˤubuħ	The appointment is tomorrow at ten in the morning.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement;number	bachir 'tomorrow' with kaf->/tS/ affrication (alshammari2026); aw->oo in moocid; sun-assim sad
ar-BH-010	اِحْنَا سَاكْنِين فِي الْمُحَرَّق مِن زَمَان.	احنا ساكنين في المحرق من زمان.	ˈʔiħnaː saːkˈniːn ˈfiː lmuˈħarraɡ ˈmin zaˈmaːn	We have been living in Muharraq for a long time.	qaf;kaf;pharyngeal;geminate;long_vowel;statement	ihna 1pl pronoun + sakin active participle for ongoing state (Gulf koine, albalushi2016); geminate rr in Muharraq
ar-BH-011	سِير سِيدَة وَبَعْدَين لِف يَمِين عِنْد الْمَسْجِد.	سير سيدة وبعدين لف يمين عند المسجد.	ˈsiːr ˈsiːda wabaʕˈdeːn ˈlif jaˈmiːn ˈʕind alˈmasdʒid	Go straight then turn right at the mosque.	jim;ta_marbuta;pharyngeal;long_vowel;diphthong;imperative	sir (imperative of sar) + sida 'straight' + lif 'turn' (Gulf koine, albalushi2016); ay->ee in bacdeen
ar-BH-012	الْغَدَا كَان لَذِيذ وَاجِد أَمْس.	الغدا كان لذيذ واجد أمس.	ˈalɣadaː ˈkaːn laˈðiːð ˈwaːdʒid ˈʔams	The lunch was very delicious yesterday.	jim;interdental;kaf;hamza;long_vowel;statement	wajid 'very' post-nominal intensifier (Gulf koine, albalushi2016); interdental dhal retained ladhidh
ar-BH-013	وِين حَطَّيت الْمَفَاتِيح؟ مَا أَدْرِي.	وين حطيت المفاتيح؟ ما أدري.	ˈwiːn ħɑtˤˈtˤeːt almafaːˈtiːħ ˈmaː ˈʔadriː	Where did you put the keys? I do not know.	hamza;emphatic;pharyngeal;long_vowel;diphthong;question;negation	win 'where' + ma adri 'I do not know' (Gulf koine, albalushi2016); geminate TT + ay->ee haTTeet; wayn ee-spelling avoided (word-initial way engine seam)
ar-BH-014	كَم وَلَد عِنْدَك؟	كم ولد عندك؟	ˈkam ˈwalad ˈʕindak	How many children do you have?	kaf;pharyngeal;question;number	kam + cindak possessive (Gulf koine, albalushi2016); plain kaf before back vowel, no affrication
