id	sentence	ipa	gloss_en	features	notes
pt-BR-001	O tempo não está bom hoje, não vou sair.	ˈu ˈtẽpu ˈnɐ̃w̃ eˈsta ˈbõ ˈoʒi ˈnɐ̃w̃ ˈvow ˈsajɾ	The weather is not good today, I'm not going out.	vowel_reduction;close_mid;nasal_vowel;nasal_diphthong;diphthong_ei_ou;sandhi;statement;negation	Nasal diphthong 'não' [ˈnɐ̃w̃] and final-vowel raising 'hoje' [ˈoʒi]; BR base keeps an alveolar coda /s/ (no chiado) per camara1970 and barbosa_albano2004.
pt-BR-002	Essas duas camisas custam trinta reais.	ˈes̺as ˈduas kaˈmizas ˈkustɐ̃ ˈtɾĩtɐ ʁeˈajs	These two shirts cost thirty reais.	vowel_reduction;close_mid;nasal_vowel;rhotic;sandhi;statement;number	Intervocalic 's' voiced 'camisas' [kaˈmizas] with alveolar coda [s], strong onset /r/ 'reais' [ʁeˈajs] per barbosa_albano2004 and callou_leite2001.
pt-BR-003	A consulta é amanhã às três da tarde.	ˈɐ kõˈsuwtɐ ˈɛ amaˈɲã ˈas ˈtɾes ˈdɐ ˈtaɾdi	The appointment is tomorrow at three in the afternoon.	vowel_reduction;open_mid;close_mid;nasal_vowel;palatal;l_dark_or_velar;sandhi;statement;number	Palatal [ɲ] 'amanhã', coda /l/ vocalised 'consulta' [kõˈsuwtɐ] and open-mid [ɛ] per camara1970 and mateus_dandrade2000.
pt-BR-004	Meu irmão mora perto daqui com a família.	ˈmew iˈɾmɐ̃w̃ ˈmoɾɐ ˈpeɾtu daˈki ˈkõ ˈɐ faˈmiliɐ	My brother lives near here with the family.	vowel_reduction;close_mid;nasal_vowel;nasal_diphthong;sandhi;statement	Nasal diphthong 'irmão' [iˈɾmɐ̃w̃] and vowel-initial liaison 'com a' per mateus_dandrade2000 and barbosa_albano2004.
pt-BR-005	Vira à direita e segue reto até a praça.	ˈviɾɐ ˈa d͡ʒiˈɾejtɐ ˈi ˈseɡi ˈʁetu aˈtɛ ˈɐ ˈpɾasɐ	Turn right and keep straight on until the square.	vowel_reduction;open_mid;close_mid;rhotic;diphthong_ei_ou;sandhi;imperative	Affrication of /d/ before [i] 'direita' [d͡ʒiˈɾejtɐ] and strong onset /r/ 'reto' [ˈʁetu] per barbosa_albano2004 and camara1970.
pt-BR-006	A comida daquele restaurante estava deliciosa.	ˈɐ koˈmidɐ daˈkeli ʁestaˈwɾɐ̃ti eˈstavɐ delis̺iˈozɐ	The food at that restaurant was delicious.	vowel_reduction;close_mid;nasal_vowel;rhotic;sandhi;statement	Strong onset /r/ 'restaurante' [ʁ] and light BR pretonic (retained /e o/) per callou_leite2001 and camara1970.
pt-BR-007	Onde é que a gente pega o ônibus pro centro?	ˈõdi ˈɛ ˈki ˈɐ ˈɡẽti ˈpeɡɐ ˈu ˈonibus ˈpɾu ˈs̺ẽtɾu	Where do we catch the bus to downtown?	vowel_reduction;open_mid;close_mid;nasal_vowel;sandhi;question	Colloquial BR lexicon 'a gente'/'ônibus'; open-mid [ɛ] 'é' and elision 'que a gente' per callou_leite2001 and mateus_dandrade2000.
pt-BR-008	Quantas pessoas você vai levar na viagem?	ˈkɐ̃tas peˈs̺oas voˈke ˈvaj leˈvaɾ ˈnɐ viˈaɡẽ	How many people are you taking on the trip?	vowel_reduction;close_mid;nasal_vowel;sandhi;question;number	'você' address with 3sg verb; coda /r/ realised as tap 'levar' [leˈvaɾ] per barbosa_albano2004 and camara1970.
pt-BR-009	Se eu pudesse, comprava aquela casa azul.	ˈsi ˈew puˈdes̺i kõˈpɾavɐ aˈkelɐ ˈkazɐ aˈzuw	If I could, I would buy that blue house.	vowel_reduction;close_mid;nasal_vowel;l_dark_or_velar;sandhi;statement	Coda /l/ vocalised 'azul' [aˈzuw] and final raising 'pudesse' [puˈdes̺i] per camara1970 and callou_leite2001.
pt-BR-010	Ontem eu comprei frutas e verduras na feira.	ˈõtẽ ˈew kõˈpɾej ˈfɾutas ˈi veˈɾduɾas ˈnɐ ˈfejɾɐ	Yesterday I bought fruit and vegetables at the market.	vowel_reduction;close_mid;nasal_vowel;diphthong_ei_ou;sandhi;statement	'ei' diphthong retained 'feira' [ˈfejɾɐ], coda /r/ tap 'verduras' and 'frutas e' liaison per barbosa_albano2004 and callou_leite2001.
pt-BR-011	Semana que vem a gente vai viajar de trem.	seˈmanɐ ˈki ˈvẽ ˈɐ ˈɡẽti ˈvaj viaˈʒaɾ ˈdi ˈtɾẽ	Next week we're going to travel by train.	vowel_reduction;close_mid;nasal_vowel;statement	BR lexicon 'a gente'/'trem'; nasal [ẽ] 'vem'/'trem' and coda /r/ tap 'viajar' per callou_leite2001 and camara1970.
pt-BR-012	Me liga quando você chegar em casa, tá legal?	ˈmi ˈliɡɐ ˈkɐ̃du voˈke ʃeˈɡaɾ ˈẽ ˈkazɐ ˈta leˈɡaw	Call me when you get home, all right?	vowel_reduction;close_mid;nasal_vowel;l_dark_or_velar;imperative;question	Imperative clitic 'me liga'; coda /l/ vocalised 'legal' [leˈɡaw], coda /r/ tap 'chegar' per camara1970 and barbosa_albano2004.
