id	sentence	ipa	gloss_en	features	notes
kab-001	Azul fell-awen.	azul fəlː awən	Hello to you (pl).	geminate;schwa;glide;greeting	Standard Kabyle greeting; azul 'hello', fell-awen 'upon you (pl)' per naitzerrad2001. Geminate ⟨ll⟩ stays the long stop-like [lː] and is not spirantized (kossmann_stroomer1997 p.466: spirantization never affects tense consonants).
kab-002	Amek i telliḍ?	aməç i θəlːiðˤ	How are you?	spirantization;geminate;emphatic;schwa;question	amek 'how', telliḍ 'you are' (2sg, verb ili) per naitzerrad2001. Lax ⟨k⟩→[ç] and initial ⟨t⟩→[θ] spirantize, geminate ⟨ll⟩→[lː] does not; final ⟨ḍ⟩ is the spirantized lax emphatic [ðˤ] (kossmann_stroomer1997 p.466-469).
kab-003	Ttxilek, awi-yi-d aman.	tːχiləç awi ji ð aman	Please, bring me water.	spirantization;geminate;uvular;schwa;glide;imperative	ttxilek 'please (to a man)', awi-d 'bring', aman 'water' per dallet1982. Geminate ⟨tt⟩→[tː] (retained stop) then ⟨x⟩→[χ]; the directional clitic -d surfaces [ð] as a lax dental (kossmann_stroomer1997 p.464, 468).
kab-004	Argaz-nni yeṛuḥ ɣer wexxam.	arʝaz nːi jərˤuħ ɣər wəχχam	That man went to the house.	spirantization;geminate;emphatic;pharyngeal;uvular;velar_fricative;schwa;glide;statement	argaz 'man', -nni 'that (anaphoric)', yeṛuḥ 'he went', wexxam état-d'annexion of axxam 'house' after ɣer per naitzerrad2001. Lax ⟨g⟩→[ʝ]; emphatic ⟨ṛ⟩ [rˤ], pharyngeal ⟨ḥ⟩ [ħ], ⟨ɣ⟩ [ɣ] and ⟨x⟩ [χ] (kossmann_stroomer1997 p.464, 469).
kab-005	Tameṭṭut tessawal taqbaylit.	θamətˤːuθ θəsːawal θaqβajliθ	The woman speaks Kabyle.	spirantization;geminate;emphatic;uvular;schwa;glide;statement	tameṭṭut 'woman', tessawal 'she speaks' (verb siwel), taqbaylit 'Kabyle (the language)' per dallet1982. Initial/final ⟨t⟩→[θ] and ⟨b⟩→[β] spirantize; geminate emphatic ⟨ṭṭ⟩→[tˤː] and ⟨ss⟩→[sː] stay stops/long; ⟨q⟩ [q] (kossmann_stroomer1997 p.464-466).
kab-006	Aḍar-iw yuḍen.	aðˤar iw juðˤən	My foot hurts.	spirantization;emphatic;schwa;glide;statement	aḍar 'foot', -iw 'my', yuḍen 'is sick/aches' (verb aḍen) per dallet1982. Both lax emphatic ⟨ḍ⟩ spirantize to [ðˤ] (kossmann_stroomer1997 p.468: spirantized ḍ).
kab-007	Adrar-a meqqer.	aðrar a məqːər	This mountain is big.	spirantization;geminate;uvular;schwa;statement	adrar 'mountain', -a 'this (proximal)', meqqer 'is big' (verb imɣur) per naitzerrad2001. Lax ⟨d⟩→[ð]; geminate ⟨qq⟩→[qː] (kossmann_stroomer1997 p.466-468); textbook spirantization example adrar→[aðrar] (kossmann_stroomer1997 p.468).
kab-008	Nekni nteddu ɣer taddart.	nəçni ntədːu ɣər θadːarθ	We go to the village.	spirantization;geminate;velar_fricative;schwa;postnasal_stop;statement	nekni 'we', nteddu 'we go/walk' (verb ddu), taddart 'village' per dallet1982. POST-NASAL BLOCK: ⟨nt⟩ keeps the stop [nt] (not *[nθ]) because the lax /t/ follows a homorganic nasal (kossmann_stroomer1997 p.468); geminate ⟨dd⟩→[dː] likewise a stop, while the lax onset ⟨t⟩ of taddart→[θ].
kab-009	Yeṭṭef afus-iw.	jətˤːəf afus iw	He held my hand.	geminate;emphatic;schwa;glide;statement	yeṭṭef 'he held/seized' (verb ṭṭef), afus 'hand', -iw 'my' per dallet1982. Geminate emphatic ⟨ṭṭ⟩→[tˤː] stays a long stop (kossmann_stroomer1997 p.466); ⟨f s⟩ are not spirantization targets.
kab-010	Aqcic yečča aɣrum.	aqʃiʃ jət͡ʃːa aɣrum	The boy ate bread.	geminate;affricate;uvular;velar_fricative;schwa;glide;statement	aqcic 'boy', yečča 'he ate' (verb ečč), aɣrum 'bread' per dallet1982. ⟨c⟩ [ʃ], geminate affricate ⟨čč⟩→[t͡ʃː], ⟨q⟩ [q], ⟨ɣ⟩ [ɣ] (kossmann_stroomer1997 p.464; the [t͡ʃ] affricate is in the Kabyle inventory per karaoui2024_fricatives).
kab-011	Anwa i d-yusan?	anwa i ð jusan	Who came?	spirantization;glide;question	anwa 'who (masc.)', d-yusan 'the one who came' (verb as with directional d-) per naitzerrad2001. The directional clitic d- surfaces as a lax dental [ð] (kossmann_stroomer1997 p.468).
