id	sentence	ipa	gloss_en	features	notes
es-NI-001	Vos sabés que el zorro azul corre por el llano.	boh saβeh ke el soro asul kore poɾ el ʝano	You know the blue fox runs across the plain.	seseo;yeismo;coda_s_aspiration;rhotic;sandhi;statement	seseo ⟨c/z⟩ merged to [s]; yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ aspirated to [h]; strong-R trill [r]; cross-word sandhi junction per hualde2005. voseo (sabés); Nicaraguan Pacific speech per fontanella_de_weinberg1992.
es-NI-002	Tomá los mangos y vení para el patio.	toma loh manɡoh i beni paɾa el patjo	Take the mangoes and come to the yard.	coda_s_aspiration;sandhi;statement;imperative	coda /s/ aspirated to [h]; cross-word sandhi junction per hualde2005. voseo imperatives (tomá, vení) per fontanella_de_weinberg1992.
es-NI-003	El chavalo tiene un perro grande y bravo.	el tʃabalo tjene uŋ pero ɡɾande i bɾabo	The kid has a big, fierce dog.	diphthong_ie_ue;velar_nasal;rhotic;sandhi;statement	tonic diphthong ⟨ie/ue⟩ [je we]; final /n/ velarised to [ŋ]; strong-R trill [r]; cross-word sandhi junction per hualde2005. Nicaraguan 'chavalo' for a child per fontanella_de_weinberg1992.
es-NI-004	Mañana el niño juega en la plaza con vos.	maɲana el niɲo xweɣa eŋ la plasa koŋ boh	Tomorrow the boy plays in the square with you.	seseo;palatal_nasal;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement	seseo ⟨c/z⟩ merged to [s]; palatal nasal ⟨ñ⟩ [ɲ]; coda /s/ aspirated to [h]; tonic diphthong ⟨ie/ue⟩ [je we]; final /n/ velarised to [ŋ]; cross-word sandhi junction per hualde2005. voseo (con vos) per fontanella_de_weinberg1992.
es-NI-005	La calle está llena de gente joven.	la kaʝe esta ʝena de xente xobeŋ	The street is full of young people.	yeismo;velar_nasal;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; final /n/ velarised to [ŋ]; cross-word sandhi junction per hualde2005. general Nicaraguan usage per fontanella_de_weinberg1992.
es-NI-006	¿Querés arroz con pollo o preferís gallo pinto?	keɾeh aros koŋ poʝo o pɾefeɾih ɡaʝo pinto	Do you want rice with chicken or gallo pinto?	seseo;yeismo;coda_s_aspiration;velar_nasal;rhotic;sandhi;question	seseo ⟨c/z⟩ merged to [s]; yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ aspirated to [h]; final /n/ velarised to [ŋ]; strong-R trill [r]; cross-word sandhi junction per hualde2005. voseo (querés); Nicaraguan 'gallo pinto' per fontanella_de_weinberg1992.
es-NI-007	Buscá unos zapatos nuevos en aquel mercado.	buska unoh sapatoh nweboh eŋ akel meɾkaðo	Look for some new shoes in that market.	seseo;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi;statement;imperative	seseo ⟨c/z⟩ merged to [s]; coda /s/ aspirated to [h]; tonic diphthong ⟨ie/ue⟩ [je we]; final /n/ velarised to [ŋ]; cross-word sandhi junction per hualde2005. voseo imperative (buscá) per fontanella_de_weinberg1992.
es-NI-008	La lluvia cae fuerte sobre los tejados viejos.	la ʝubja kae fweɾte sobɾe loh texaðoh bjexoh	The rain falls hard on the old roofs.	yeismo;coda_s_aspiration;diphthong_ie_ue;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ aspirated to [h]; tonic diphthong ⟨ie/ue⟩ [je we]; cross-word sandhi junction per hualde2005. general usage per fontanella_de_weinberg1992.
es-NI-009	Nosotros queremos una casa buena y barata.	nosotɾoh keɾemoh una kasa bwena i baɾata	We want a good, cheap house.	coda_s_aspiration;diphthong_ie_ue;sandhi;statement;number	coda /s/ aspirated to [h]; tonic diphthong ⟨ie/ue⟩ [je we]; cross-word sandhi junction per hualde2005. general usage per fontanella_de_weinberg1992.
es-NI-010	El camión rojo corre rápido por la carretera.	el kamioŋ roxo kore rapiðo poɾ la kareteɾa	The red truck runs fast along the highway.	velar_nasal;rhotic;statement	final /n/ velarised to [ŋ]; strong-R trill [r] per hualde2005. general usage per fontanella_de_weinberg1992.
es-NI-011	Ese señor tiene bastante tierra en la montaña.	ese seɲoɾ tjene bastante tjera eŋ la montaɲa	That man has plenty of land on the mountain.	palatal_nasal;diphthong_ie_ue;velar_nasal;rhotic;sandhi;statement	palatal nasal ⟨ñ⟩ [ɲ]; tonic diphthong ⟨ie/ue⟩ [je we]; final /n/ velarised to [ŋ]; strong-R trill [r]; cross-word sandhi junction per hualde2005. general usage per fontanella_de_weinberg1992.
es-NI-012	No vayás solo, andá con los muchachos.	no baʝah solo anda koŋ loh mutʃatʃoh	Don't go alone, go with the guys.	yeismo;coda_s_aspiration;velar_nasal;sandhi;statement;negation;imperative	yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ aspirated to [h]; final /n/ velarised to [ŋ]; cross-word sandhi junction per hualde2005. voseo negative imperative (vayás, andá) per fontanella_de_weinberg1992.
es-NI-013	Las manzanas y las naranjas están en la mesa.	lah mansanah i lah naɾanxah estaŋ eŋ la mesa	The apples and oranges are on the table.	seseo;coda_s_aspiration;velar_nasal;sandhi;statement	seseo ⟨c/z⟩ merged to [s]; coda /s/ aspirated to [h]; final /n/ velarised to [ŋ]; cross-word sandhi junction per hualde2005. general usage per fontanella_de_weinberg1992.
es-NI-014	¿Vos vivís lejos del parque nuevo?	boh bibih lexoh del paɾke nwebo	Do you live far from the new park?	coda_s_aspiration;diphthong_ie_ue;sandhi;question	coda /s/ aspirated to [h]; tonic diphthong ⟨ie/ue⟩ [je we]; cross-word sandhi junction per hualde2005. voseo (vivís) per fontanella_de_weinberg1992.
es-NI-015	Los caballos blancos pastan junto al arroyo.	loh kaβaʝoh blankoh pastaŋ xunto al aroʝo	The white horses graze by the stream.	yeismo;coda_s_aspiration;velar_nasal;rhotic;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; coda /s/ aspirated to [h]; final /n/ velarised to [ŋ]; strong-R trill [r]; cross-word sandhi junction per hualde2005. general usage per fontanella_de_weinberg1992.
es-NI-016	Comprá pan y guardá un poco para después.	kompɾa paŋ i ɡaɾda uŋ poko paɾa despueh	Buy bread and save some for later.	coda_s_aspiration;velar_nasal;sandhi;statement;imperative	coda /s/ aspirated to [h]; final /n/ velarised to [ŋ]; cross-word sandhi junction per hualde2005. voseo imperatives (comprá, guardá) per fontanella_de_weinberg1992.
