id	sentence	ipa	gloss_en	features	notes
es-UY-001	Bo, ¿vos venís al Parque este finde?	bo bos benis al paɾke este finde	Hey, are you coming to the park this weekend?	sandhi;question	Montevideano voseo 'venís' and vocative 'bo' per fontanella_de_weinberg1992.
es-UY-002	Ella lleva la llave del apartamento en la mano.	eʝa ʝeba la ʝabe del apaɾtamento en la mano	She carries the apartment key in her hand.	yeismo;sandhi;statement	Yeísmo ⟨ll y⟩ [ʝ] 'ella lleva llave' (Rioplatense ʝ with the montevideano devoicing trend) per hualde2005.
es-UY-003	Los championes azules cuestan mil pesos.	los tʃampjones asules kwestan mil pesos	The blue sneakers cost a thousand pesos.	seseo;diphthong_ie_ue;sandhi;statement;number	Uruguayan 'championes' (sneakers); seseo ⟨z⟩ [s] 'azules' per penny2002; coda ⟨s⟩ 'los'.
es-UY-004	El perro corre por la rambla al atardecer.	el pero kore poɾ la rambla al ataɾdeθeɾ	The dog runs along the waterfront at dusk.	distincion;rhotic;sandhi;statement	Trill [r] for ⟨rr⟩ 'perro corre rambla' per hualde2005; montevideano 'rambla'.
es-UY-005	No quiero que llueva en el asado.	no kjeɾo ke ʝweba en el asaðo	I don't want it to rain on the barbecue.	yeismo;diphthong_ie_ue;sandhi;statement;negation	Yeísmo ⟨ll⟩ [ʝ] 'llueva' per hualde2005; negation 'no quiero'.
es-UY-006	¿Vos querés un mate o tomás tereré?	bos keɾes un mate o tomas teɾeɾe	Do you want a mate or do you drink tereré?	sandhi;question	Voseo 'querés tomás' per fontanella_de_weinberg1992.
es-UY-007	Ta, comé tranquilo que hay tiempo de sobra.	ta kome tɾankilo ke ai tjempo de sobɾa	OK, eat calmly, there's plenty of time.	diphthong_ie_ue;imperative	Uruguayan discourse marker 'ta'; voseo imperative 'comé' per fontanella_de_weinberg1992.
es-UY-008	La calle estaba llena de murgas en Carnaval.	la kaʝe estaβa ʝena de muɾɡas en kaɾnabal	The street was full of murgas at Carnival.	yeismo;sandhi;statement	Yeísmo ⟨ll⟩ [ʝ] 'calle llena' per hualde2005; montevideano 'murga'.
es-UY-009	Mi hermano trabaja cerca del puerto viejo.	mi eɾmano tɾaβaxa θeɾka del pweɾto bjexo	My brother works near the old port.	distincion;diphthong_ie_ue;statement	Coverage of the Uruguayan consonant baseline per penny2002; ⟨j⟩ [x] 'trabaja'.
es-UY-010	Nosotros vamos a la playa todos los veranos.	nosotɾos bamos a la plaʝa toðos los beɾanos	We go to the beach every summer.	yeismo;sandhi;statement	Coda ⟨s⟩ conserved 'nosotros vamos los veranos' per penny2002; yeísmo ⟨y⟩ [ʝ] 'playa'.
es-UY-011	Poné la pava que ya cebamos unos mates.	pone la paba ke ʝa θeβamos unos mates	Put the kettle on, let's brew some mates.	distincion;yeismo;sandhi;imperative	Voseo imperative 'poné' per fontanella_de_weinberg1992; sandhi 'que ya'.
es-UY-012	La lluvia mojó toda la ropa del tendedero.	la ʝubja moxo toða la ropa del tendeðeɾo	The rain soaked all the laundry on the line.	yeismo;rhotic;statement	Yeísmo ⟨ll⟩ [ʝ] 'lluvia' per hualde2005.
es-UY-013	Decime la verdad, ¿trajiste los boletos?	deθime la beɾdað tɾaxiste los boletos	Tell me the truth, did you bring the tickets?	distincion;sandhi;question	Voseo 'decime trajiste' per fontanella_de_weinberg1992; coda ⟨s⟩ 'los boletos'.
es-UY-014	No seas malo y prestame la bici un rato.	no seas malo i pɾestame la biθi un rato	Don't be mean and lend me the bike for a while.	distincion;rhotic;sandhi;imperative;negation	Voseo 'seas prestame' per fontanella_de_weinberg1992; negation 'no seas'.
es-UY-015	El pollo con boniato ya está en la mesa.	el poʝo kon bonjato ʝa esta en la mesa	The chicken with sweet potato is on the table.	yeismo;sandhi;statement	Yeísmo ⟨ll⟩ [ʝ] 'pollo' per hualde2005; Uruguayan 'boniato'.
es-UY-016	Mañana llegan los primos desde Salto.	maɲana ʝeɣan los pɾimos desde salto	Tomorrow the cousins arrive from Salto.	yeismo;palatal_nasal;palatal_initial;sandhi;statement	Palatal nasal ⟨ñ⟩ [ɲ] 'mañana' per penny2002; coda ⟨s⟩ 'los primos'.
es-UY-017	La barra se junta en la esquina a la tardecita.	la bara se xunta en la eskina a la taɾdeθita	The gang meets on the corner in the early evening.	distincion;rhotic;sandhi;statement	Trill [r] 'barra' per hualde2005; Uruguayan 'la barra' (group of friends).
es-UY-018	Salimos temprano porque el ómnibus tarda.	salimos tempɾano poɾke el omniβus taɾda	We leave early because the bus takes a while.	sandhi;statement	Coda ⟨s⟩ conserved 'salimos' per penny2002; Uruguayan 'ómnibus'.
es-UY-019	¿Querés que pasemos por la feria de Tristán Narvaja?	keɾes ke pasemos poɾ la feɾja de tɾistan naɾbaxa	Do you want to stop by the Tristán Narvaja market?	question	Voseo 'querés' per fontanella_de_weinberg1992; seseo baseline penny2002.
es-UY-020	Ella se llevó el termo y el mate a la playa.	eʝa se ʝebo el teɾmo i el mate a la plaʝa	She took the thermos and the mate to the beach.	yeismo;sandhi;statement	Yeísmo ⟨ll y⟩ [ʝ] 'ella llevó playa' per hualde2005.
