id	sentence	ipa	gloss_en	features	notes
ca-x-valencia-001	El cel no està clar hui.	el ˈsel ˈno eˈsta ˈklaɾ ˈuj	The sky is not clear today.	sandhi	Valencian 'hui' (today) [ˈuj] and full atonic vowels per avl2006; final-⟨r⟩ retention 'clar' [ˈklaɾ] per recasens1991.
ca-x-valencia-002	Esta vesprada plou damunt la ciutat.	ˈesta veˈspɾaða ˈplow ðaˈmun la siˈwtat	This afternoon it is raining over the city.	statement	Demonstrative 'esta' and 'vesprada' (afternoon) per avl2006; full atonic ⟨e/o⟩ vowels (no schwa) per recasens1991.
ca-x-valencia-003	Les cases velles tenen finestres grosses.	les ˈkazez ˈveʎes ˈtenen fiˈnɛstɾez ˈɣɾɔses	The old houses have big windows.	lateral_palatal;sibilant_voicing;sandhi	Palatal lateral ⟨ll⟩ [ʎ] 'velles' and full atonic vowels per recasens1991; final ⟨s⟩ voiced [z] before vowel 'cases velles' (sandhi) per avl2006.
ca-x-valencia-004	On està l'espill de la cambra?	ˈon eˈsta leˈspiʎ de la ˈkambɾa	Where is the mirror of the room?	lateral_palatal	Valencian lexicon 'espill' (mirror) with palatal lateral ⟨ll⟩ [ʎ] per avl2006; full atonic vowels 'cambra' per recasens1991.
ca-x-valencia-005	El meu germà viu a la vora de la plaça.	el ˈmew ðʒeˈɾma ˈviw a la ˈvoɾa ðe la ˈplasa	My brother lives by the edge of the square.	sibilant_voicing;sandhi	Voiced prepalatal ⟨g⟩ affricate [dʒ] 'germà' and phonemic labiodental ⟨v⟩ [v] 'viu','vora' per avl2006; final-⟨r⟩ retention 'germà'-class per recasens1991.
ca-x-valencia-006	La reunió és demà a les tres.	la rewniˈo ˈez ðeˈma a les ˈtɾes	The meeting is tomorrow at three.	sibilant_voicing;rhotic;sandhi	Copula ⟨s⟩ voiced [z] 'és demà' (sandhi) and trill [r] 'tres' per recasens1991; full atonic vowels per avl2006.
ca-x-valencia-007	Vine ací de seguida i agarra la granera.	ˈvine aˈsi ðe seˈɣiða i aˈɣara la ɣɾaˈneɾa	Come here at once and grab the broom.	rhotic;sandhi	Valencian adverb 'ací' and 'granera' (broom) per avl2006; tap/trill and final-⟨r⟩ retention 'agarra','granera' per recasens1991.
ca-x-valencia-008	Quinze taronges i dotze pomes valen deu euros.	ˈkinze taˈɾoɲdʒez i ˈðodze ˈpomez ˈvalen ˈdew ˈewɾos	Fifteen oranges and twelve apples cost ten euros.	palatal_nasal;sibilant_voicing;sandhi	Palatal nasal ⟨ny⟩ [ɲ] with voiced affricate 'taronges' and phonemic ⟨v⟩ [v] 'valen' per avl2006; voiced ⟨tz/dz⟩ 'dotze' per recasens1991.
ca-x-valencia-009	El gos corre per la vora del riu.	el ˈɣos ˈkore peɾ la ˈvoɾa ðel ˈriw	The dog runs along the riverbank.	rhotic	Final-⟨r⟩ retention 'per' [ˈpeɾ] and phonemic ⟨v⟩ [v] 'vora' per recasens1991; trill ⟨rr⟩ [r] 'corre' per avl2006.
ca-x-valencia-010	La dona menja pa amb oli.	la ˈðona ˈmeɲdʒa ˈpa am ˈoli	The woman eats bread with oil.	palatal_nasal;sibilant_voicing;sandhi	Palatal nasal ⟨nj⟩ [ɲ] 'menja' and full atonic vowels 'dona','oli' per recasens1991; final ⟨b⟩→[m] 'amb' assimilation (sandhi) per avl2006.
