id	sentence	ipa	gloss_en	features	notes
es-AR-x-cuyo-001	Che, ¿vos venís a la vendimia este año?	ˈtʃe ˈbos beˈnis ˈa ˈla beˈndimja ˈeste ˈaɲo	Hey, are you coming to the grape harvest this year?	palatal_nasal;sandhi;question	Cuyano voseo 'venís' within Lipski's Argentine zone per lipski1994; ⟨ñ⟩ [ɲ] 'año'.
es-AR-x-cuyo-002	La calle del centro estaba llena de turistas.	ˈla ˈkaʝe ˈdel ˈsentɾo eˈstaβa ˈʝena ˈde tuˈɾistas	The downtown street was full of tourists.	seseo;yeismo;sandhi;statement	Yeísmo ⟨ll⟩ [ʝ] 'calle llena' per lipski1994.
es-AR-x-cuyo-003	Los damascos y las uvas cuestan poco ahora.	ˈlos daˈmaskos ˈi ˈlas ˈubas ˈkwestan ˈpoko ˈaoɾa	Apricots and grapes are cheap right now.	diphthong_ie_ue;sandhi;statement	Seseo baseline and coda ⟨s⟩ 'los damascos las uvas' per lipski1994.
es-AR-x-cuyo-004	El agua baja de la montaña por la acequia.	ˈel ˈaɡa ˈbaxa ˈde ˈla moˈntaɲa ˈpoɾ ˈla aˈsekja	The water comes down from the mountain through the channel.	seseo;palatal_nasal;sandhi;statement	Cuyano lexis 'acequia' (irrigation channel) per lipski1994; ⟨g⟩ [ɣ] 'agua'.
es-AR-x-cuyo-005	No quiero que se pierda la cosecha.	ˈno ˈkjeɾo ˈke ˈse ˈpjeɾda ˈla koˈsetʃa	I don't want the harvest to be lost.	diphthong_ie_ue;statement;negation	Seseo ⟨c⟩+back and negation 'no quiero' per lipski1994.
es-AR-x-cuyo-006	Vení a probar el vino que trajo mi tío.	beˈni ˈa pɾoˈβaɾ ˈel ˈbino ˈke ˈtɾaxo ˈmi ˈtio	Come try the wine my uncle brought.	sandhi;imperative	Cuyano voseo imperative 'vení' per lipski1994.
es-AR-x-cuyo-007	Ella lleva la canasta llena de duraznos.	ˈeʝa ˈʝeba ˈla kaˈnasta ˈʝena ˈde duˈɾasnos	She carries the basket full of peaches.	seseo;yeismo;statement	Yeísmo ⟨ll⟩ [ʝ] 'ella lleva llena' per lipski1994.
es-AR-x-cuyo-008	¿Cómo andás con la poda de los parrales?	ˈkomo aˈndas ˈkon ˈla ˈpoða ˈde ˈlos paˈrales	How are you getting on with pruning the vines?	rhotic;sandhi;question	Voseo 'andás' per lipski1994; coda ⟨s⟩ 'los parrales'.
es-AR-x-cuyo-009	La chica cruzó la plaza rumbo al mercado.	ˈla ˈtʃika kɾuˈso ˈla ˈplasa ˈrumbo ˈal meˈɾkaðo	The girl crossed the square heading to the market.	seseo;rhotic;sandhi;statement	Seseo ⟨z c⟩ [s] 'cruzó plaza' per lipski1994.
es-AR-x-cuyo-010	Comé algo antes de subir al cerro.	koˈme ˈalɡo ˈantes ˈde suˈβiɾ ˈal ˈsero	Eat something before climbing the hill.	seseo;rhotic;sandhi;imperative	Voseo imperative 'comé' per lipski1994.
es-AR-x-cuyo-011	El perro corre entre las hileras de vides.	ˈel ˈpero ˈkore ˈentɾe ˈlas iˈleɾas ˈde ˈbiðes	The dog runs between the rows of vines.	rhotic;sandhi;statement	Trill [r] for ⟨rr⟩ 'perro corre' per lipski1994.
es-AR-x-cuyo-012	Nosotros bajamos a San Juan la semana pasada.	noˈsotɾos baˈxamos ˈa ˈsan ˈxwan ˈla seˈmana paˈsaða	We went down to San Juan last week.	sandhi;statement	Coda ⟨s⟩ conserved 'nosotros bajamos' per lipski1994.
es-AR-x-cuyo-013	Decime si querés más zapallo en el guiso.	deˈsime ˈsi keˈɾes ˈmas saˈpaʝo ˈen ˈel ˈɡiso	Tell me if you want more squash in the stew.	seseo;yeismo;sandhi;question	Voseo 'decime querés' per lipski1994; seseo ⟨z⟩ [s] 'zapallo'.
es-AR-x-cuyo-014	No seas amarrete, convidá un poco de tinto.	ˈno ˈseas amaˈrete konbiˈða ˈun ˈpoko ˈde ˈtinto	Don't be stingy, share a bit of red wine.	rhotic;sandhi;imperative;negation	Voseo 'seas convidá' per lipski1994; negation 'no seas'.
es-AR-x-cuyo-015	Mañana llegan los primos desde Mendoza.	maˈɲana ˈʝeɣan ˈlos ˈpɾimos ˈdesde meˈndosa	Tomorrow the cousins arrive from Mendoza.	seseo;yeismo;palatal_nasal;palatal_initial;sandhi;statement	Palatal nasal ⟨ñ⟩ [ɲ] 'mañana' per lipski1994; coda ⟨s⟩ 'los primos'.
es-AR-x-cuyo-016	El sol pega fuerte al mediodía en el llano.	ˈel ˈsol ˈpeɣa ˈfweɾte ˈal meðjoˈðia ˈen ˈel ˈʝano	The sun beats hard at noon on the plain.	yeismo;diphthong_ie_ue;sandhi;statement	Yeísmo ⟨ll⟩ [ʝ] 'llano' per lipski1994; trill [r] 'fuerte'.
es-AR-x-cuyo-017	Poné la pava que hace frío en la finca.	poˈne ˈla ˈpaba ˈke ˈase ˈfɾio ˈen ˈla ˈfinka	Put the kettle on, it's cold at the farm.	seseo;sandhi;imperative	Voseo imperative 'poné' per lipski1994; Cuyano 'finca'.
es-AR-x-cuyo-018	Los caminos de montaña están cortados hoy.	ˈlos kaˈminos ˈde moˈntaɲa eˈstan koˈɾtaðos ˈoi	The mountain roads are closed today.	palatal_nasal;sandhi;statement	Coda ⟨s⟩ conserved 'caminos están cortados' per lipski1994.
es-AR-x-cuyo-019	¿Querés que pasemos por la bodega primero?	keˈɾes ˈke paˈsemos ˈpoɾ ˈla boˈðeɣa pɾiˈmeɾo	Do you want us to stop by the winery first?	question	Voseo 'querés' per lipski1994; seseo ⟨c⟩+e 'bodega' baseline.
es-AR-x-cuyo-020	Salimos al alba para cruzar la cordillera.	saˈlimos ˈal ˈalba ˈpaɾa kɾuˈsaɾ ˈla koɾdiˈʝeɾa	We set out at dawn to cross the mountain range.	seseo;yeismo;sandhi;statement	Coda ⟨s⟩ conserved 'salimos' per lipski1994.
