id	sentence	ipa	gloss_en	features	notes
es-VE-x-llanero-001	Los llaneros arrean el ganado por la sabana abierta.	ˈlos ʝaˈneɾos ˈarean ˈel ɡaˈnaðo ˈpoɾ ˈla saˈβana aˈβjeɾta	The plainsmen drive the cattle across the open savanna.	yeismo;diphthong_ie_ue;rhotic;sandhi	yeísmo: ⟨ll/y⟩ realised [ʝ]; Romance rising diphthong ⟨ie/ue⟩ [je/we] — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-002	Mi tío canta joropo con el arpa y las maracas.	ˈmi ˈtio ˈkanta xoˈɾopo ˈkon ˈel ˈaɾpa ˈi ˈlas maˈɾakas	My uncle sings joropo with the harp and maracas.	sandhi	cross-word sandhi at a vowel/consonant junction — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-003	El niño pequeño monta a caballo por el hato.	ˈel ˈniɲo peˈkeɲo ˈmonta ˈa kaˈβaʝo ˈpoɾ ˈel ˈato	The little boy rides a horse around the ranch.	yeismo;palatal_nasal;sandhi	yeísmo: ⟨ll/y⟩ realised [ʝ]; palatal nasal ⟨ñ⟩ [ɲ] — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-004	¿Vamos a ordeñar las vacas al amanecer?	ˈbamos ˈa oɾdeˈɲaɾ ˈlas ˈbakas ˈal amaneˈseɾ	Shall we milk the cows at dawn?	seseo;palatal_nasal;sandhi	seseo: ⟨c/z⟩ merged to [s]; palatal nasal ⟨ñ⟩ [ɲ] — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-005	Ese peón es muy diestro enlazando becerros.	ˈese ˈpeon ˈes ˈmui ˈdjestɾo enlaˈsando beˈseros	That ranch hand is very skilled at roping calves.	seseo;diphthong_ie_ue;rhotic;sandhi	seseo: ⟨c/z⟩ merged to [s]; Romance rising diphthong ⟨ie/ue⟩ [je/we] — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-006	La luz del sol quema la llanura durante el verano.	ˈla ˈlus ˈdel ˈsol ˈkema ˈla ʝaˈnuɾa duˈɾante ˈel beˈɾano	The sunlight scorches the plain during the summer.	seseo;yeismo;sandhi	seseo: ⟨c/z⟩ merged to [s]; yeísmo: ⟨ll/y⟩ realised [ʝ] — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-007	Compré diez reses gordas en la feria del pueblo.	koˈmpɾe ˈdjes ˈreses ˈɡoɾdas ˈen ˈla ˈfeɾja ˈdel ˈpweblo	I bought ten fat cattle at the town fair.	seseo;diphthong_ie_ue;rhotic;sandhi	seseo: ⟨c/z⟩ merged to [s]; Romance rising diphthong ⟨ie/ue⟩ [je/we] — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-008	El corazón del llano late con música y coplas.	ˈel koɾaˈson ˈdel ˈʝano ˈlate ˈkon ˈmusika ˈi ˈkoplas	The heart of the plains beats with music and verses.	seseo;yeismo	seseo: ⟨c/z⟩ merged to [s]; yeísmo: ⟨ll/y⟩ realised [ʝ] — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-009	Los pescadores buscan bagres en el río caudaloso.	ˈlos peskaˈðoɾes ˈbuskan ˈbaɡɾes ˈen ˈel ˈrio kawðaˈloso	The fishermen look for catfish in the mighty river.	rhotic;sandhi	alveolar trill [r] preserved — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-010	¿Cuántas personas caben en aquella canoa?	ˈkuantas peˈɾsonas ˈkaβen ˈen aˈkeʝa ˈkanoa	How many people fit in that canoe?	yeismo	yeísmo: ⟨ll/y⟩ realised [ʝ] — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-011	La región de los llanos guarda garzas y chigüires.	ˈla reˈxion ˈde ˈlos ˈʝanos ˈɡaɾda ˈɡaɾsas ˈi tʃiˈɡwiɾes	The plains region holds herons and capybaras.	seseo;yeismo;rhotic;sandhi	seseo: ⟨c/z⟩ merged to [s]; yeísmo: ⟨ll/y⟩ realised [ʝ] — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
es-VE-x-llanero-012	El perro corre detrás del ganado por el potrero.	ˈel ˈpero ˈkore deˈtɾas ˈdel ɡaˈnaðo ˈpoɾ ˈel poˈtɾeɾo	The dog runs after the cattle across the pasture.	rhotic;sandhi	alveolar trill [r] preserved — pan-Latin-American seseo/yeísmo baseline modelled for this stub lect, coda /s/ retained [s] (highland/interior conservatism) per lipski1994.
