id	sentence	ipa	gloss_en	features	notes
es-PR-001	Los nenes juegan afuera con la pelota nueva.	loh ˈneneh ˈxweɣaŋ aˈfweɾa koŋ la peˈlota ˈnweβa	The kids play outside with the new ball.	coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); word-final /n/ velarisation to [ŋ] per hualde2005.
es-PR-002	Mi mamá compró arroz y habichuelas en el colmado.	mi maˈma koˈmpɾo aˈros i aβiˈtʃwelah eŋ el koˈlmaðo	My mom bought rice and beans at the corner store.	seseo;coda_s_aspiration;diphthong_ie_ue;velar_nasal;rhotic;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); word-final /n/ velarisation to [ŋ] per fontanella_de_weinberg1992.
es-PR-003	¿Vas a coger la guagua para ir al pueblo?	ˈbah a koˈxeɾ la ˈɡwaɣwa paɾa ˈiɾ al ˈpweblo	Are you going to take the bus into town?	coda_s_aspiration;diphthong_ie_ue;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); Romance rising diphthong ⟨ie/ue⟩ [je/we] per penny2002.
es-PR-004	La playa estaba llena de gente el domingo.	la plaˈʝa eˈstaβa ˈʝena de ˈxente el doˈminɡo	The beach was full of people on Sunday.	yeismo;sandhi	yeísmo: ⟨ll/y⟩ realised [ʝ] per hualde2005.
es-PR-005	Ese muchacho canta bien bonito en la fiesta.	ˈese muˈtʃatʃo ˈkanta ˈbjeŋ boˈnito eŋ la ˈfjesta	That boy sings really nicely at the party.	diphthong_ie_ue;velar_nasal;sandhi	word-final /n/ velarisation to [ŋ]; Romance rising diphthong ⟨ie/ue⟩ [je/we] per fontanella_de_weinberg1992.
es-PR-006	El perro corre por la orilla del río.	el ˈpero ˈkore poɾ la oˈɾiʝa del ˈrio	The dog runs along the riverbank.	yeismo;rhotic;sandhi	yeísmo: ⟨ll/y⟩ realised [ʝ]; alveolar trill [r] preserved per penny2002.
es-PR-007	Compré diez chinas maduras en la plaza del mercado.	koˈmpɾe ˈdjes ˈtʃinah maˈðuɾah eŋ la ˈplasa del meˈɾkaðo	I bought ten ripe oranges at the market square.	seseo;coda_s_aspiration;diphthong_ie_ue;velar_nasal;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); word-final /n/ velarisation to [ŋ] per hualde2005.
es-PR-008	La luz del sol brilla sobre las montañas verdes.	la ˈlus del ˈsol ˈbɾiʝa ˈsobɾe lah moˈntaɲah ˈbeɾdeh	The sunlight shines over the green mountains.	seseo;yeismo;palatal_nasal;coda_s_aspiration;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); seseo: ⟨c/z⟩ merged to [s] per fontanella_de_weinberg1992.
es-PR-009	Mi abuelo cuenta historias del campo y la caña.	mi aˈβwelo ˈkwenta iˈstoɾjah del ˈkampo i la ˈkaɲa	My grandfather tells stories of the countryside and sugarcane.	palatal_nasal;coda_s_aspiration;diphthong_ie_ue;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); Romance rising diphthong ⟨ie/ue⟩ [je/we] per penny2002.
es-PR-010	¿Cuántas personas caben en aquella lancha?	ˈkuantah peˈɾsonah ˈkaβeŋ eŋ aˈkeʝa ˈlantʃa	How many people fit in that boat?	yeismo;coda_s_aspiration;velar_nasal	coda /s/ aspiration to [h] (Caribbean weakening); word-final /n/ velarisation to [ŋ] per hualde2005.
es-PR-011	El niño pequeño duerme en la hamaca del patio.	el ˈniɲo peˈkeɲo ˈdweɾme eŋ la aˈmaka del ˈpatjo	The little boy sleeps in the courtyard hammock.	palatal_nasal;diphthong_ie_ue;velar_nasal;sandhi	word-final /n/ velarisation to [ŋ]; Romance rising diphthong ⟨ie/ue⟩ [je/we] per fontanella_de_weinberg1992.
es-PR-012	No quiero que llueva sobre la parranda esta noche.	ˈno ˈkjeɾo ke ˈʝweβa ˈsobɾe la paˈranda ˈesta ˈnotʃe	I don't want it to rain over the party tonight.	yeismo;diphthong_ie_ue;rhotic;sandhi	yeísmo: ⟨ll/y⟩ realised [ʝ]; Romance rising diphthong ⟨ie/ue⟩ [je/we] per penny2002.
es-PR-013	Los pescadores salen temprano buscando su pesca.	loh peskaˈðoɾeh ˈsaleŋ teˈmpɾano buˈskando su ˈpeska	The fishermen set out early after their catch.	coda_s_aspiration;velar_nasal	coda /s/ aspiration to [h] (Caribbean weakening); word-final /n/ velarisation to [ŋ] per hualde2005.
es-PR-014	La mujer canta una plena alegre en la calle.	la muˈxeɾ ˈkanta una ˈplena aˈleɡɾe eŋ la ˈkaʝe	The woman sings a lively plena in the street.	yeismo;velar_nasal;sandhi	word-final /n/ velarisation to [ŋ]; yeísmo: ⟨ll/y⟩ realised [ʝ] per fontanella_de_weinberg1992.
es-PR-015	Dame un poco de agua bien fría, por favor.	ˈdame uŋ ˈpoko de ˈaɣwa ˈbjeŋ ˈfɾia poɾ faˈβoɾ	Give me a little very cold water, please.	diphthong_ie_ue;velar_nasal;sandhi	word-final /n/ velarisation to [ŋ]; Romance rising diphthong ⟨ie/ue⟩ [je/we] per penny2002.
es-PR-016	El corazón del barrio late con tambor y baile.	el koɾaˈsoŋ del ˈbarjo ˈlate koŋ taˈmboɾ i ˈbajle	The heart of the neighborhood beats with drum and dance.	seseo;velar_nasal;rhotic	word-final /n/ velarisation to [ŋ]; seseo: ⟨c/z⟩ merged to [s] per hualde2005.
es-PR-017	Aquella señora vende piraguas junto al parque.	aˈkeʝa seˈɲoɾa ˈbende piˈɾaɣwah ˈxunto al ˈpaɾke	That lady sells shaved-ice cones by the park.	yeismo;palatal_nasal;coda_s_aspiration;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); yeísmo: ⟨ll/y⟩ realised [ʝ] per fontanella_de_weinberg1992.
es-PR-018	Buenos días, ¿cómo durmió usted por acá?	ˈbwenoh ˈdiah ˈkomo duˈɾmio uˈste poɾ aˈka	Good morning, how did you sleep around here?	coda_s_aspiration;diphthong_ie_ue;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); Romance rising diphthong ⟨ie/ue⟩ [je/we] per penny2002.
es-PR-019	Las estrellas alumbran el mar durante la madrugada.	lah eˈstɾeʝah aˈlumbɾaŋ el ˈmaɾ duˈɾante la madɾuˈɣaða	The stars light up the sea in the early morning.	yeismo;coda_s_aspiration;velar_nasal;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); word-final /n/ velarisation to [ŋ] per hualde2005.
es-PR-020	Mi hermano trabaja lejos, allá por la montaña.	mi eˈɾmano tɾaˈβaxa ˈlexoh aˈʝa poɾ la moˈntaɲa	My brother works far away, out by the mountain.	yeismo;palatal_nasal;coda_s_aspiration;sandhi	coda /s/ aspiration to [h] (Caribbean weakening); yeísmo: ⟨ll/y⟩ realised [ʝ] per fontanella_de_weinberg1992.
