id	sentence	ipa	gloss_en	features	notes
es-SV-001	Vos sabés que el cielo está claro esta mañana.	ˈbos saˈβes ke el ˈsjelo eˈsta ˈklaɾo ˈesta maˈɲana	You know the sky is clear this morning.	seseo;palatal_nasal;diphthong_ie_ue;sandhi;statement	seseo ⟨c/z⟩ merged to [s]; palatal nasal ⟨ñ⟩ [ɲ]; tonic diphthong ⟨ie/ue⟩ [je we]; cross-word sandhi junction per lipski1994. voseo (sabés); Salvadoran usage per lipski_overview.
es-SV-002	Tomá un café y vení temprano a la ciudad.	toˈma un kaˈfe i beˈni teˈmpɾano a la sjuˈðað	Have a coffee and come to the city early.	seseo;sandhi;statement;imperative	seseo ⟨c/z⟩ merged to [s]; cross-word sandhi junction per lipski1994. voseo imperatives (tomá, vení) per lipski_overview.
es-SV-003	El bicho tiene un perro grande y juguetón.	el ˈbitʃo ˈtjene un ˈpero ˈɡɾande i xuɡeˈton	The kid has a big, playful dog.	diphthong_ie_ue;rhotic;sandhi;statement	tonic diphthong ⟨ie/ue⟩ [je we]; strong-R trill [r]; cross-word sandhi junction per lipski1994. Salvadoran 'bicho' for a child per lipski_overview.
es-SV-004	Mañana la niña juega cerca de la plaza.	maˈɲana la ˈniɲa ˈxweɣa ˈseɾka de la ˈplasa	Tomorrow the girl plays near the square.	seseo;palatal_nasal;diphthong_ie_ue;statement	seseo ⟨c/z⟩ merged to [s]; palatal nasal ⟨ñ⟩ [ɲ]; tonic diphthong ⟨ie/ue⟩ [je we] per lipski1994. general Salvadoran usage per lipski_overview.
es-SV-005	La calle está llena de gente joven.	la ˈkaʝe eˈsta ˈʝena de ˈxente ˈxoben	The street is full of young people.	yeismo;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; cross-word sandhi junction per lipski1994. general usage per lipski_overview.
es-SV-006	¿Querés arroz con pollo o preferís pupusas?	keˈɾes aˈros kon ˈpoʝo o pɾefeˈɾis puˈpusas	Do you want rice with chicken or pupusas?	seseo;yeismo;rhotic;sandhi;question	seseo ⟨c/z⟩ merged to [s]; yeísmo ⟨ll/y⟩ to [ʝ]; strong-R trill [r]; cross-word sandhi junction per lipski1994. voseo (querés); Salvadoran 'pupusas' per lipski_overview.
es-SV-007	Buscá un zapato nuevo en el centro.	buˈska un saˈpato ˈnwebo en el ˈsentɾo	Look for a new shoe downtown.	seseo;diphthong_ie_ue;sandhi;statement;imperative	seseo ⟨c/z⟩ merged to [s]; tonic diphthong ⟨ie/ue⟩ [je we]; cross-word sandhi junction per lipski1994. voseo imperative (buscá) per lipski_overview.
es-SV-008	La lluvia cae fuerte sobre el techo viejo.	la ˈʝubja ˈkae ˈfweɾte ˈsobɾe el ˈtetʃo ˈbjexo	The rain falls hard on the old roof.	yeismo;diphthong_ie_ue;sandhi;statement	yeísmo ⟨ll/y⟩ to [ʝ]; tonic diphthong ⟨ie/ue⟩ [je we]; cross-word sandhi junction per lipski1994. general usage per lipski_overview.
es-SV-009	El vecino dice que quiere vender la milpa.	el beˈsino ˈdise ke ˈkjeɾe beˈndeɾ la ˈmilpa	The neighbor says he wants to sell the maize plot.	seseo;diphthong_ie_ue;statement	seseo ⟨c/z⟩ merged to [s]; tonic diphthong ⟨ie/ue⟩ [je we] per lipski1994. seseo on 'vecino', 'dice' per lipski_overview.
es-SV-010	El carro rojo corre rápido por la carretera.	el ˈkaro ˈroxo ˈkore ˈrapiðo poɾ la kareˈteɾa	The red car runs fast along the highway.	rhotic;statement	strong-R trill [r] per lipski1994. general usage per lipski_overview.
